一级目录,二级目录,目录,说明,国标
5. 基础设施绿色升级,5.5海绵城市,5.5.1海绵型建筑与小区建设和运营,包括因地制宜采取屋顶绿化、可渗透地面、微地形、雨水花园、雨落管断接、雨水调蓄与收集利用等的建设和运营。,《）
5. 基础设施绿色升级,5.5海绵城市,5.5.2海绵型道路与广场建设和运营,包括在非机动车道、人行道、停车场、广场等场所使用透水铺装，实施道路与广场雨水收集、净化和利用，建设生物滞留带、环保雨水口、旋流沉砂等控制道路雨水径流污染等。,《）
5. 基础设施绿色升级,5.5海绵城市,5.5.3海绵型公园和绿地建设和运营,包括雨水花园、下凹式绿地、人工湿地、雨水塘等建设和运营。,《）
5. 基础设施绿色升级,5.5海绵城市,5.5.4城市排水设施达标建设运营和改造,包括城市排水防涝设施达标建设，城市易涝点改造，雨污分流、雨水岸线净化设施建设，沿岸流干管建设和改造，沉淀过滤、人工湿地等溢流污废水净化设施建设，雨水调蓄设施科学布局建设和运营等。,《）
5. 基础设施绿色升级,5.5海绵城市,5.5.5城市水体自然生态修复,包括恢复和保持河湖水系的自然连通，构建城市良性水循环系统，逐步改善水环境质量，整治河道系统，因势利导改造渠化河道，重塑健康自然的弯曲河岸线，恢复自然深潭浅滩和泛洪漫滩，实施生态修复等。,《）
5. 基础设施绿色升级,5.6园林绿化,5.6.1公园绿地建设、养护和运营,包括综合公园、专类公园、社区公园游园的建设、养护和运营，建设内容需符合《公园设计规范》（GB51192）等相关要求。,《公园设计规范》（GB51192）
5. 基础设施绿色升级,5.6园林绿化,5.6.2绿道系统建设、养护管理和运营,包括绿道及其配套的驿站、标识系统和其他附属设施的建设、养护管理和运营，符合《绿道规划设计导则》等相关要求。,《）
5. 基础设施绿色升级,5.6园林绿化,5.6.3附属绿地建设、养护管理和运营,包括居住用地、公共管理与公共服务设施用地、商业服务业设施用地、工业用地、物流仓储用地、公用设施用地、绿地与广场用地等的附属绿地建设、养护管理和运营，相关建设内容需符合《城市绿地分类标准》（CJJ/T85）等相关要求。,《城市绿地分类标准》（CJJ/T85）
5. 基础设施绿色升级,5.6园林绿化,5.6.4道路绿化建设、养护管理,包括各级各类城市道路的分隔绿带、路侧绿带、绿化环岛等的绿地建设、养护管理。相关建设内容应符合《城市道路绿化规划与设计规范》（CJJ75）等相关要求。,《城市道路绿化规划与设计规范》（CJJ75）
5. 基础设施绿色升级,5.6园林绿化,5.6.5区域绿地建设、养护管理和运营,包括郊野公园、湿地公园、区域设施防护绿地等区域绿地的建设、养护管理和运营，应符合《城市绿地分类标准》（CJJ/T85）等相关要求。,《城市绿地分类标准》（CJJ/T85）
5. 基础设施绿色升级,5.6园林绿化,5.6.6立体绿化建设、养护管理,包括屋顶绿化、墙面绿化、桥隧绿化等的建设、养护管理，相关建设内容应符合《垂直绿化工程技术规程》（CJJ/T236）等相关要求。,《垂直绿化工程技术规程》（CJJ/T236）
6. 绿色服务,6.1咨询服务,6.1.1绿色产业项目勘察服务,包括风能资源、光伏资源、生物质能资源等绿色资源勘察服务，绿色产业项目发展潜力评估服务等。,《）
6. 绿色服务,6.1咨询服务,6.1.2绿色产业项目方案设计服务,包括绿色产业项目设计与建设服务、绿色产业项目运维与优化服务（如风电场智能云服务）、节能环保生产工艺设计和升级改造方案设计等。,《）
6. 绿色服务,6.1咨询服务,6.1.3绿色产业项目技术咨询服务,包括绿色产业项目尽职调查服务、绿色产业发展规划研究、绿色产业项目可行性研究、项目风险评估服务、先进节能环保技术设备和材料（药剂）评价、工程验收与后评价服务、环境安全评估、生态效率评价服务、绿色低碳技术咨询服务、节水管理与技术咨询服务、化学品生态毒理测试与预测咨询服务、环境友好型产品评估和信息声明、环境服务质量评价、绿色金融咨询服务、环境投融资及风险评估、绿色产业人才培训等。,《）
6. 绿色服务,6.1咨询服务,6.1.4清洁生产审核服务,包括调查诊断服务，制定减少有毒有害物质使用、产生方案，制定减少能耗、物耗及废物产生方案，制定清洁生产改造方案等。,《）
6. 绿色服务,6.2项目运营管理,6.2.1能源管理体系建设,包括能源管理体系咨询服务、能源管理标杆企业信息咨询、能源管理体系建设成效评估、能源管理体系工具软件开发、能源管理体系认证服务等。,《）
6. 绿色服务,6.2项目运营管理,6.2.2合同能源管理服务,包括企业节能改造服务、合同能源管理商务模式咨询、合同能源管理融资服务等。,《）
6. 绿色服务,6.2项目运营管理,6.2.3用能权交易服务,包括用能权统计核算服务、用能权第三方审核服务、用能权交易法律咨询服务、节能方案咨询与服务、用能权交易平台建设、用能权资产管理和运营服务、用能权金融质押服务等。,《）
6. 绿色服务,6.2项目运营管理,6.2.4水权交易服务,包括水权交易可行性分析服务、水权交易参考价格核定服务、水权交易方案设计服务、水权交易技术咨询服务、水权交易法律服务、水权交易平台建设等。,《）
6. 绿色服务,6.2项目运营管理,6.2.5排污许可及交易服务,包括排污许可证申请、审核咨询服务，排污许可台账记录和执行报告服务，排污行为合规性服务，排污许可信息化建设，排污权交易法律咨询服务，排污权平台建设，排污权金融质押服务等。,《）
6. 绿色服务,6.2项目运营管理,6.2.6碳排放权交易服务,包括碳排放数据统计核算服务、碳配额注册登记及变更服务、碳交易法律服务、碳减排方案咨询与服务、产品碳足迹评价服务、碳金融服务、碳信息管理服务等。,《）
6. 绿色服务,6.2项目运营管理,6.2.7电力需求侧管理服务,包括节约用电服务、环保用电服务、绿色用电服务、智能用电服务、有序用电服务等。需符合《电力需求侧管理办法（修订版）》（发改运行规〔2017〕1690号）。,《）
6. 绿色服务,6.2项目运营管理,6.2.8可再生能源绿证交易服务,包括绿证认购交易服务、交易平台建设、绿证交易法律咨询服务等。,《）
6. 绿色服务,6.3项目评估审计核查,6.3.1节能评估和能源审计,包括用能单位能源效率评估服务、企业节能改造方案设计服务、第三方能源审计服务、节能量评估服务、能源审计培训服务、固定资产投资项目节能报告编制服务等。,《）
6. 绿色服务,6.3项目评估审计核查,6.3.2环境影响评价,包括环境影响综合评估服务、环境影响解决方案设计、环境影响法律咨询、环境影响数据库建设等。,《）
6. 绿色服务,6.3项目评估审计核查,6.3.3碳排放核查,包括碳排放第三方核查、碳排放核查人员培训、碳排放核查数据库建设、碳排放核查结果抽查校核服务等。,《）
6. 绿色服务,6.3项目评估审计核查,6.3.4地质灾害危险性评估,包括塌塴、滑坡、泥石流、地面塌陷、地裂缝、地面沉降等地质灾害的危险性评价、灾害区易损性评价、地质灾害破坏损失评价等。评估工作要符合《地质灾害危险性评估规范》（DZ/T0286）等国家标准和要求。,《地质灾害危险性评估规范》（DZ/T0286）
6. 绿色服务,6.3项目评估审计核查,6.3.5水土保持评估,包括生产建设项目水土保持方案编制、监测评估、建立等技术服务，生产建设项目水土保持设施验收第三方评估，生产建设项目水土保持信息化监管服务，水土保持法律咨询等。,《）
6. 绿色服务,6.4监测检测,6.4.1能源在线监测系统建设,包括能耗数据采集方案设计、能耗监测远程终端设备采购、能耗在线监测计算机平台开发、能耗计量和在线监测设备校准服务、能耗监测数据库和应用软件开发等。,《）
6. 绿色服务,6.4监测检测,6.4.2污染源监测,包括污染源监测系统开发、污染源监测设备采购服务、污染源监测数据库和应用软件开发、污染物排放计量和监测设备校准服务等。,《）
6. 绿色服务,6.4监测检测,6.4.3环境损害评估监测,包括环境损害评估监测方案设计、环境损害鉴定评估、环境损害应急处置方案设计、环境损害法律咨询服务、环境损害保险服务等。,《）
6. 绿色服务,6.4监测检测,6.4.4环境影响评价监测,包括水环境影响评价监测、大气环境影响评价监测、土壤环境影响评价监测、噪声与振动环境影响评价监测、环境损害应急处置方案设计服务、环境影响法律咨询服务等。,《）
6. 绿色服务,6.4监测检测,6.4.5企业环境监测,包括企业环境监测设备采购、企业环境监测服务、企业环境监测软件、硬件开发、企业环境影响数据库建设、企业污染物监控人员培训等。,《）
6. 绿色服务,6.4监测检测,6.4.6生态环境监测,包括水环境监测服务，空气监测服务，土地监测服务，农业废弃物资源监测服务，农用地、农用水资源监测服务，林业和草原碳汇监测服务，生态遥感监测服务，生物群落监测服务，生物多样性监测服务，水土保持监测服务，毒性试验服务等。,《）
6. 绿色服务,6.5技术产品认证和推广,6.5.1节能产品认证推广,包括计算机、复印机、显示器、碎纸机、服务器、中小型三相异步电机等产品的节能认证和推广。产品应符合相关产品的国家能效标准、行业标准或者认证技术规范要求。,《）
6. 绿色服务,6.5技术产品认证和推广,6.5.2低碳产品认证推广,包括硅酸盐水泥、平板玻璃、铝合金建筑型材、中小型三相异步电动机、建筑陶瓷砖（板）、轮胎、纺织面料、钢化玻璃、三相配电变压器、电弧焊机等产品的低碳产品认证和推广。产品的温室气体排放量应符合相关产品的低碳产品国家标准、评价标准或者技术规范要求。,《）
6. 绿色服务,6.5技术产品认证和推广,6.5.3节水产品认证推广,包括家用和类似用途反渗透净水机、水嘴、淋浴器、水箱配件、工业洗衣机、淋浴房等产品的节水认证和推广。产品的节水效果应符合相关产品的节水产品标准、技术规范等强制性要求。,《）
6. 绿色服务,6.5技术产品认证和推广,6.5.4环境标志产品认证推广,包括电子电器、建材、轻工、装饰装修、机械设备等产品的环境标志产品认证和推广。产品的环境影响应符合相关产品的环境标准和环境保护要求。,《）
6. 绿色服务,6.5技术产品认证和推广,6.5.5有机食品认证推广,包括种植业产品、食用菌栽培、野生植物产品、畜禽养殖产品、水产养殖产品、食品和饲料等供人类消费、动物食用的有机食品的认证和推广。认证过程应符合《有机产品认证管理办法》，食品应符合相关有机产品国家标准。,《）
6. 绿色服务,6.5技术产品认证和推广,6.5.6绿色食品认证推广,包括蜂产品、蔬菜品、乳品、畜牧产品、果类产品、肉及肉制品等食品的绿色食品认证和推广。认证过程应符合《绿色食品标志管理法》。,《）
6. 绿色服务,6.5技术产品认证和推广,6.5.7资源综合利用产品认定推广,包括水泥、砖瓦等列入《国家工业固体废物资源综合利用产品目录》产品的资源综合利用产品认定和推广，以及纳入《再制造产品目录》的再制造产品的认定和推广。认证过程符合相应的国家标准、行业标准或者技术规范要求。,《）
6. 绿色服务,6.5技术产品认证和推广,6.5.8绿色建材认证推广,包括节能玻璃、节水马桶、薄型瓷砖、水性涂料、砌体材料、保温材料、预拌混凝土、预拌砂浆等绿色建材的认证和推广。绿色建材认证应严格按照《绿色建材评价标识管理办法实施细则》、《绿色建材评价技术导则》等的要求进行。,《）
